"","Year","iso","cp"
"784",2009,608,33.90408371
"785",2009,328,39.95437886
"786",2010,604,49.96287535
"787",2008,826,76
"788",2009,508,14.65121236
"789",2010,422,46.8
"790",2009,24,11.68421634
"791",1970,604,10
"792",1980,887,1.6
"793",2010,170,72.87620163
"794",2010,426,45.62331688
"795",2010,626,20.66931407
"796",2008,222,66.2
"797",2011,108,17.73441974
"798",2011,116,34.87330492
"799",1997,454,14.4
"800",2005,250,74.8
"801",2006,288,16.8
"802",1966,56,10.8
"803",1976,56,47.85
"804",2002,56,58.10951123
"805",1998,56,55.6
"806",2004,56,59.3
"807",1977,100,6
"808",1998,124,NA
"809",2006,156,84
"810",1968,344,NA
"811",1978,344,NA
"812",2000,184,NA
"813",1984,180,4.4
"814",1978,724,18.6
"815",1974,702,52.8
"816",1978,702,62.8
"817",2004,643,56.6
"818",2008,643,51.5
"819",1998,882,23.1525
"820",1998,703,65.6
"821",2006,410,NA
"822",2010,410,NA
"823",2002,300,45.9
"824",1958,348,18
"825",2011,4,20.20822583
"826",2013,12,47.87687673
"827",2012,32,53.45983468
"828",2013,52,55.38457469
"829",2012,112,51.93332514
"830",2012,84,51.98317898
"831",2010,64,65.38392636
"832",2012,70,12.13809947
"833",2011,140,11.3315349
"834",2010,148,4.381153544
"835",2012,188,74.73980031
"836",2011,192,73.17531654
"837",2010,180,6.600873985
"838",2010,270,10.24388498
"839",2012,288,24.80882469
"840",2010,624,13.1
"841",2011,398,49.7401943
"842",2010,466,9.002794057
"843",2012,478,4.548494949
"844",2012,498,42.31697303
"845",2011,496,50.43322695
"846",2013,499,15.35659995
"847",2010,104,45.8
"848",2011,566,11.49079001
"849",2011,275,41.4129158
"850",2014,591,60.2953177
"851",2011,688,22.2168266
"852",2011,694,10.19829104
"853",2012,662,52.43291983
"854",2011,740,47.18179477
"855",2011,748,63.12383748
"856",2013,764,76.95125392
"857",2011,807,12.99252856
"858",2011,768,13.53454279
"859",2012,780,37.6
"860",2012,788,50.89651247
"861",2013,804,47.63273087
"862",2011,704,60.0761923
"863",2009,716,63.94894334
"864",2011,4,19.9
"865",2011,51,26.8155655
"866",2012,50,52.05129875
"867",2012,178,19.98791336
"868",2012,226,9.6
"869",2011,231,27.3369627
"870",2012,266,19.41697992
"871",2012,340,63.84557519
"872",2012,418,42.6680544
"873",2012,508,11.33755344
"874",2011,524,43.15256042
"875",2011,646,44.50372999
"876",2013,762,25.8416423
"877",2014,768,17.26685191
"878",2012,800,26.02920895
"879",2011,716,57.25861354
"880",1988,28,NA
"881",1992,51,25.2
"882",2008,344,NA
"883",1970,208,54
"884",1975,208,59.9
"885",1975,818,22.4
"886",1972,246,53.9
"887",1977,246,77.2
"888",1972,250,20.9
"889",1966,348,18.5
"890",1974,348,44
"891",1976,348,52
"892",1974,360,7.2
"893",1996,364,53.6
"894",1994,364,49.2
"895",2004,372,67.38095238
"896",1980,388,54.2
"897",1950,392,14.2
"898",1952,392,23.5
"899",1956,392,30.2
"900",1958,392,36.1
"901",1960,392,40.2
"902",1962,392,39.2
"903",1964,392,43.8
"904",1966,392,54.1
"905",1968,392,49.1
"906",1970,392,52.1
"907",1972,392,52.6
"908",1974,392,59.3
"909",1976,392,60.5
"910",1978,392,NA
"911",1980,392,62.2
"912",1996,426,NA
"913",1967,458,6.2
"914",1972,470,16
"915",1976,480,29.2
"916",2007,104,38.4
"917",1990,516,32.1
"918",1970,528,41.6
"919",1978,528,65.2
"920",2008,528,NA
"921",1978,578,65.2
"922",1998,578,78.3
"923",2006,578,82.2
"924",1980,591,54.1
"925",1985,591,54.2
"926",1972,616,13.2
"927",1978,616,26.3
"928",1968,630,50.8
"929",1974,630,55
"930",1976,630,57.6
"931",1966,410,14
"932",1966,410,15
"933",1976,410,NA
"934",1978,144,26.9
"935",1982,144,33.7
"936",2008,762,31.5721
"937",2002,764,76.1
"938",2006,764,79.76719136
"939",1970,807,3.1
"940",2008,626,15.8
"941",1971,780,NA
"942",2008,792,46
"943",1990,826,66
"944",1992,826,70
"945",1998,826,74
"946",1999,826,73
"947",1956,840,37.3
"948",1966,840,49.1
"949",1970,840,56.8
"950",1974,840,63.5
"951",1976,840,73.2
"952",1976,840,60.5
"953",2008,840,NA
"954",1998,704,57.9
"955",1978,642,5.3
"956",1979,729,3.9
"957",1999,729,5.4
"958",1990,729,5.518518519
"959",1993,729,6.9
"960",2006,729,9
"961",2006,728,3.3
"962",2010,704,67.50156314
"963",2010,591,48.8
"964",2011,686,12.09578152
"965",2011,188,NA
"966",2011,368,33.59872871
"967",2012,608,36.9
"968",2008,356,48.2
"969",2013,400,42.31194459
"970",2011,504,58.6
"971",2011,729,8.4676666
"972",2012,604,51.10183895
"973",2005,408,56.3
"974",2007,408,58.5
"975",2010,760,37.5
"976",2010,764,77.4
"977",2005,32,69.9
"978",1970,348,31
"979",2012,562,12.2106441
"980",1976,554,61.5
"981",1964,792,6.7
"982",2008,586,19.3
"983",2013,324,4.632162156
"984",2005,233,57.9
"985",2009,40,67.6
"986",2009,56,72.8
"987",2005,100,36.8
"988",2007,100,39.6
"989",2006,250,72.1
"990",2009,250,71
"991",2009,268,23
"992",2006,268,31.4
"993",2005,276,64.5
"994",2008,276,49.1
"995",2007,440,52.3
"996",2006,642,50.5
"997",2005,643,53
"998",2010,296,18
"999",2013,566,9.664552849
"1000",2012,776,28.4
"1001",2014,548,37.1
"1002",2012,332,31.2747392
"1003",2011,268,34.7
"1004",2008,840,NA
"1005",2006,203,55.9
"1006",2008,203,77.6
"1007",2013,417,33.67072313
"1008",2012,360,57.86250376
"1009",2013,174,14.15772711
"1010",2013,466,9.891482292
"1011",2013,586,26.09758877
"1012",2013,270,8.079105936
"1013",2012,634,34.4
"1014",2010,408,65.3
"1015",2013,430,19.06417996
"1016",2013,686,16.08999249
"1017",2014,231,32.88853431
"1018",2006,704,68.4
"1019",2013,566,10.73863636
"1020",2010,484,67.425
"1021",2012,643,55
"1022",2013,604,51.79519057
"1023",2014,694,15.60313184
"1024",2014,792,47.4
"1025",2011,364,57
"1026",2008,512,15.3
"1027",2010,728,1.586013501
"1028",2014,222,67.71301662
"1029",2010,862,NA
"1030",2014,275,43.9914855
"1031",2015,148,5.036918944
"1032",2016,356,47.7579169
"1033",2015,116,38.81346052
"1034",2013,262,18
"1035",2012,558,77.4
"1036",2011,704,68.59213482
"1037",2014,417,39.94052088
"1038",2014,688,18.41890166
"1039",2014,496,48.20098431
"1040",2014,704,56.84001718
"1041",2014,454,57.35197492
"1042",2015,748,65.53212172
"1043",2014,716,66.4610037
"1044",2018,368,36.1
"1045",2014,512,18.8
"1046",1992,208,NA
"1047",2011,250,72.7
"1048",2010,214,71.1
"1049",2015,729,12.0365513
"1050",2013,50,59.26917143
"1051",2014,288,18.81516773
"1052",2006,36,63.058
"1053",2011,426,60.84445979
"1054",2014,180,7.507263334
"1055",2014,608,37.37497104
"1056",2014,887,25.21164497
"1057",2014,516,55.26488581
"1058",2017,384,14.3
"1059",2014,624,14.37259043
"1060",2016,478,15.6
"1061",2017,566,10.8
"1062",2014,120,19.93222125
"1063",2015,178,18.51520781
"1064",2014,678,37.39247534
"1065",2014,894,44.63910746
"1066",2014,204,12.35804714
"1067",2016,398,53.59843033
"1068",2016,764,75.5
"1069",2014,524,47.14957864
"1070",2014,192,72.1514273
"1071",2015,214,68.0480708
"1072",2014,328,32.56591276
"1073",2016,324,7.8
"1074",2016,466,15.10583244
"1075",2018,694,21.8
"1076",2016,4,19.7840789
"1077",2014,214,68.63237414
"1078",2014,818,56.88441005
"1079",2015,404,53.32663799
"1080",2016,800,30.45222069
"1081",2012,840,70.1
"1082",2014,360,60.9
"1083",2014,704,67.01570394
"1084",2016,795,47.09820694
"1085",2015,484,68.3958
"1086",2012,704,66.57310573
"1087",2016,84,48.5
"1088",2015,854,20.15083823
"1089",2015,231,34.19538507
"1090",2014,288,17.73151475
"1091",2015,288,21.11233405
"1092",2015,404,58.88717371
"1093",2015,426,59.79442073
"1094",2015,458,34.3
"1095",2015,288,22.19058006
"1096",2014,686,20.28152249
"1097",2015,404,53.22078859
"1098",2016,392,NA
"1099",2015,50,54.05530282
"1100",2016,170,75.9004533
